fiscalquartername,FiscalPeriod,FiscalYear,Company,Top_Most_BP,BusinessPartner,Item_Number,Item_Description,Ship_to_State,Ship_to_City,Quantity,Planned_Delivery_Date,Address_1,Address_2,Postal_Code,Budget_Qty,Forecast_Qty,Line_of_Business,domestic_or_international,planned_delivery_year,planned_delivery_month,planned_delivery_month_num,planned_delivery_day
"Fiscal Quarter 3, 2013",201309,2013,"613 (Merced, CA)",Los Gatos Tomato Products (CUS002293),Los Gatos Tomato Products (CUS002293),201513,BG 0012 AHV 5100/5100/INSRT,CA,Huron,7280,2013-06-26T00:00:00Z,19800 Gale Avenue,NA,93234,7200,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Jun,6,26
"Fiscal Quarter 3, 2014",201409,2014,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Hanford,1600,2014-06-13T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,2200,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jun,6,13
"Fiscal Quarter 3, 2015",201509,2015,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,154,2015-06-16T00:00:00Z,1357 Isett Avenue,NA,52761-4521,350,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jun,6,16
"Fiscal Quarter 3, 2016",201609,2016,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",200328,BS 0220 APPHM 1F 3400/3400,OH,OTTAWA,2800,2016-06-30T00:00:00Z,325 WILLIAMSTOWN ROAD,NA,45875,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jun,6,30
"Fiscal Quarter 3, 2017",201707,2017,"613 (Merced, CA)",Conservas La Costena Sa De Cv (CUS000268),Conservas La Costena Sa De Cv (CUS000268),200325,BS 0220 AVHM 1F 2600/2600-OBS,AZ,"NOGALES, AZ",-394,2017-02-22T00:00:00Z,1370 N. INDUSTRIAL PARK,NA,85628,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Feb,2,22
"Fiscal Quarter 3, 2018",201809,2018,"613 (Merced, CA)",Ingomar Packing (CUS000390),Ingomar Packing (CUS000390),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,2160,2018-06-26T00:00:00Z,9950 South Ingomar Grade,NA,93635-1448,4e3,15e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jun,6,26
"Fiscal Quarter 3, 2018",201809,2018,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Lemoore,7200,2018-06-25T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,8645,28500,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jun,6,25
"Fiscal Quarter 4, 2010",201010,2010,"613 (Merced, CA)",CONAGRA (GPC000027),Conagra Grocery Products Company (CUS000613),201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,OAKDALE,7920,2010-07-01T00:00:00Z,554 SOUTH YOSEMITE AVENUE,NA,95361,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Jul,7,1
"Fiscal Quarter 4, 2010",201010,2010,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,6e3,2010-08-02T00:00:00Z,1905 McHenry Avenue,NA,95320-9601,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Aug,8,2
"Fiscal Quarter 4, 2010",201011,2010,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Lemoore,6720,2010-08-19T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Aug,8,19
"Fiscal Quarter 4, 2010",201012,2010,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Buttonwillow,15840,2010-09-08T00:00:00Z,36889 HWY 58,NA,93206-0515,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Sep,9,8
"Fiscal Quarter 4, 2010",201012,2010,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,WILLIAMS,7480,2010-09-11T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Sep,9,11
"Fiscal Quarter 4, 2011",201110,2011,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Dixon,7920,2011-07-14T00:00:00Z,8380 Pedrick Road,NA,95620-9606,12e3,12e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jul,7,14
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,280,2016-07-29T00:00:00Z,1357 Isett Avenue,NA,52761-4521,0,350,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,29
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",206463,BS 0012 AVHV 5100/5100/INSRT,CA,Buttonwillow,3e3,2016-07-08T00:00:00Z,36889 HWY 58,NA,93206-0515,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,8
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Lemoore,4800,2016-07-15T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,13e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,15
"Fiscal Quarter 4, 2016",201611,2016,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),DEL MONTE CORPORATION (CUS009217),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Modesto,80,2016-08-23T00:00:00Z,4000 Yosemite Blvd,NA,95357-1580,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Aug,8,23
"Fiscal Quarter 4, 2016",201611,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Los Banos,27600,2016-08-30T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,43e3,35200,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Aug,8,30
"Fiscal Quarter 4, 2016",201611,2016,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,WILLIAMS,10800,2016-08-17T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,0,4320,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Aug,8,17
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Los Banos,23002,2016-09-20T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,29e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,20
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Woodland,2860,2016-09-15T00:00:00Z,1376 Lemon Avenue,NA,95776-3369,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,15
"Fiscal Quarter 4, 2012",201211,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,47520,2012-08-27T00:00:00Z,13448 Volta Road,NA,93635-9785,31680,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Aug,8,27
"Fiscal Quarter 4, 2012",201211,2012,620 (Scholle IPN Canada Ltd.),SUN BRITE FOODS INC (CUS200675),SUN BRITE FOODS INC (CUS200675),200187,BG 0012 APHM 3400/3400,ON,RUTHVEN,1500,2012-08-01T00:00:00Z,2526 TALBOT ROAD,PO BOX 70,N0P 2G0,0,NA,TOMATO (PROCESSED FRUIT TOMATO),unknown,2012,Aug,8,1
"Fiscal Quarter 4, 2012",201212,2012,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,1400,2012-09-11T00:00:00Z,1357 Isett Avenue,NA,52761-4521,1680,1300,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Sep,9,11
"Fiscal Quarter 4, 2012",201212,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201522,BS 1440 APPHM 1F 5100/INS&CAP,CA,Los Banos,1782,2012-09-22T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Sep,9,22
"Fiscal Quarter 4, 2012",201212,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,7200,2012-08-31T00:00:00Z,13448 Volta Road,NA,93635-9785,31680,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Aug,8,31
"Fiscal Quarter 4, 2012",201212,2012,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS002285),200357,BS 1200 APPHM 1F 1700/INS&CAP,CA,STOCKTON,14778,2012-09-27T00:00:00Z,1400 EAST WATERLOO ROAD,NA,95205,1e4,11e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Sep,9,27
"Fiscal Quarter 4, 2013",201310,2013,"613 (Merced, CA)",CONAGRA (GPC000027),Conagra Grocery Products Co. (CUS000266),200171,BG 0012 AHV 1700/1700/INS,CA,HELM,14400,2013-07-02T00:00:00Z,16429 WEST KAMM AVENUE,NA,93627,5e3,10500,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Jul,7,2
"Fiscal Quarter 4, 2013",201310,2013,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Hanford,2080,2013-07-02T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,2400,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Jul,7,2
"Fiscal Quarter 4, 2013",201310,2013,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS002285),206897,BG 0012 AVHV 1700/3 IN /INSRT,CA,STOCKTON,8800,2013-07-01T00:00:00Z,1400 EAST WATERLOO ROAD,NA,95205,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Jul,7,1
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201591,BS 1200 APPHM 1F 3400/3400 CTR,CA,Dixon,7700,2013-08-28T00:00:00Z,8380 Pedrick Road,NA,95620-9606,5e3,5600,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,28
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,39600,2013-08-30T00:00:00Z,13448 Volta Road,NA,93635-9785,35e3,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,30
"Fiscal Quarter 4, 2013",201312,2013,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200301,BS 0220 APHM 1F 800X/800,IA,Muscatine,600,2013-09-27T00:00:00Z,1357 Isett Avenue,NA,52761-4521,250,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,27
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Dixon,16720,2013-09-27T00:00:00Z,8380 Pedrick Road,NA,95620-9606,17e3,12e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,27
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000231)",201929,BS 1200 APHM 1F 5100/INS&CAP,CA,STOCKTON,5676,2013-09-16T00:00:00Z,760 INDUSTRIAL DRIVE,MAIN PLANT,95206,9660,4160,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,16
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,280,2013-09-30T00:00:00Z,1357 Isett Avenue,NA,52761-4521,270,225,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,30
"Fiscal Quarter 4, 2014",201410,2014,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200301,BS 0220 APHM 1F 800X/800,IA,Muscatine,180,2014-07-21T00:00:00Z,1357 Isett Avenue,NA,52761-4521,250,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,21
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201591,BS 1200 APPHM 1F 3400/3400 CTR,CA,Dixon,8400,2014-07-28T00:00:00Z,8380 Pedrick Road,NA,95620-9606,4e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,28
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",CONAGRA (GPC000027),Conagra Grocery Products Company (CUS000613),201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,OAKDALE,8800,2014-07-02T00:00:00Z,554 SOUTH YOSEMITE AVENUE,NA,95361,1e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,2
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),CONAGRA FOODS CANADA INC (CUS200423),201928,BS 1200 APHM 1F 1700 SPT ONLY,ON,DRESDEN,22,2014-07-25T00:00:00Z,759 WELLINGTON STREET,NA,N0P 1M0,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),unknown,2014,Jul,7,25
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Lemoore,12800,2014-07-01T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,11e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,1
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Hanford,2400,2013-08-28T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,28
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,280,2013-08-09T00:00:00Z,1357 Isett Avenue,NA,52761-4521,275,125,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,9
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Los Banos,3200,2013-08-23T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,5e3,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,23
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),206160,BG 0220 APVHN 1700,CA,STOCKTON,-2280,2013-05-15T00:00:00Z,1400 EAST WATERLOO ROAD,NA,95205,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,May,5,15
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,WILLIAMS,12960,2013-08-23T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,5e3,1e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,23
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),DEL MONTE CORPORATION (CUS009217),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Modesto,480,2013-09-03T00:00:00Z,4000 Yosemite Blvd,NA,95357-1580,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,3
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",200301,BS 0220 APHM 1F 800X/800,OH,OTTAWA,600,2013-09-27T00:00:00Z,325 WILLIAMSTOWN ROAD,NA,45875,NA,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,27
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS002285),200358,BS 1200 APPHM 1F 1700/INS&CAP,CA,STOCKTON,2282,2013-09-09T00:00:00Z,1400 EAST WATERLOO ROAD,NA,95205,8e3,14e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,9
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Corcoran,2160,2014-07-15T00:00:00Z,710 Bainum Avenue,NA,93212-9603,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,15
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",Los Gatos Tomato Products (CUS002293),Los Gatos Tomato Products (CUS002293),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Huron,160,2014-07-18T00:00:00Z,19800 Gale Avenue,NA,93234,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,18
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Lemoore,38400,2014-07-16T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,27200,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,16
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Los Banos,8e3,2013-09-06T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,38e3,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,6
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),DEL MONTE CORPORATION (CUS009217),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Modesto,40,2014-07-25T00:00:00Z,4000 Yosemite Blvd,NA,95357-1580,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,25
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",Ingomar Packing (CUS000390),Ingomar Packing (CUS000390),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Los Banos,47520,2014-07-24T00:00:00Z,9950 South Ingomar Grade,NA,93635-1448,2e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,24
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Williams,20880,2014-07-29T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,5e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,29
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS002285),206897,BG 0012 AVHV 1700/3 IN /INSRT,CA,STOCKTON,5200,2014-07-08T00:00:00Z,1400 EAST WATERLOO ROAD,NA,95205,9e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,8
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),CONAGRA FOODS CANADA INC (CUS200423),200171,BG 0012 AHV 1700/1700/INS,ON,DRESDEN,180,2014-09-04T00:00:00Z,759 WELLINGTON STREET,NA,N0P 1M0,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),unknown,2014,Sep,9,4
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),201522,BS 1440 APPHM 1F 5100/INS&CAP,CA,Hanford,9,2014-09-19T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,19
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)",Ingomar Packing (CUS000390),Ingomar Packing (CUS000390),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,18900,2014-09-26T00:00:00Z,9950 South Ingomar Grade,NA,93635-1448,7920,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,26
"Fiscal Quarter 4, 2015",201512,2015,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Los Banos,98280,2015-09-25T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,46200,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Sep,9,25
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),201522,BS 1440 APPHM 1F 5100/INS&CAP,CA,Hanford,3096,2016-07-07T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,7
"Fiscal Quarter 4, 2011",201110,2011,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Lemoore,31680,2011-07-29T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,15e3,15e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jul,7,29
"Fiscal Quarter 4, 2011",201111,2011,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Hanford,3960,2011-08-25T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Aug,8,25
"Fiscal Quarter 4, 2011",201111,2011,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Buttonwillow,3015,2011-08-17T00:00:00Z,36889 HWY 58,NA,93206-0515,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Aug,8,17
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",200357,BS 1200 APPHM 1F 1700/INS&CAP,CA,Dixon,4680,2011-09-30T00:00:00Z,8380 Pedrick Road,NA,95620-9606,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,30
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Hanford,2640,2011-09-24T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,24
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,273,2011-09-15T00:00:00Z,1357 Isett Avenue,NA,52761-4521,225,225,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,15
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,35757,2011-09-28T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,25e3,25e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,28
"Fiscal Quarter 4, 2012",201212,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Los Banos,74520,2012-09-26T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,47e3,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Sep,9,26
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)",Ingomar Packing (CUS000390),Ingomar Packing (CUS000390),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Los Banos,23760,2013-08-06T00:00:00Z,9950 South Ingomar Grade,NA,93635-1448,21500,2e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,6
